2023-05-30 21:58:14 status half-installed libpulse0:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:14 status unpacked libpulse0:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:14 install libpulsedsp:amd64 <none> 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:14 status half-installed libpulsedsp:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:14 status unpacked libpulsedsp:amd64 1:13.99.1-1ubuntu3.13
2023-05-30 21:58:14 install libsm6:amd64 <none> 2:1.2.3-1
2023-05-30 21:58:14 status half-installed libsm6:amd64 2:1.2.3-1
2023-05-30 21:58:14 status unpacked libsm6:amd64 2:1.2.3-1
2023-05-30 21:58:14 install libwayland-client0:amd64 <none> 1.18.0-1ubuntu0.1
2023-05-30 21:58:14 status half-installed libwayland-client0:amd64 1.18.0-1ubuntu0.1
2023-05-30 21:58:14 status unpacked libwayland-client0:amd64 1.18.0-1ubuntu0.1
2023-05-30 21:58:14 install libxt6:amd64 <none> 1:1.1.5-1
2023-05-30 21:58:14 status half-installed libxt6:amd64 1:1.1.5-1
2023-05-30 21:58:14 status unpacked libxt6:amd64 1:1.1.5-1
2023-05-30 21:58:14 install libxmu6:amd64 <none> 2:1.1.3-0ubuntu1
2023-05-30 21:58:14 status half-installed libxmu6:amd64 2:1.1.3-0ubuntu1
2023-05-30 21:58:14 status unpacked libxmu6:amd64 2:1.1.3-0ubuntu1
2023-05-30 21:58:14 install libxpm4:amd64 <none> 1:3.5.12-1ubuntu0.20.04.1
2023-05-30 21:58:14 status half-installed libxpm4:amd64 1:3.5.12-1ubuntu0.20.04.1
2023-05-30 21:58:14 status unpacked libxpm4:amd64 1:3.5.12-1ubuntu0.20.04.1
2023-05-30 21:58:14 install libxaw7:amd64 <none> 2:1.0.13-1
2023-05-30 21:58:14 status half-installed libxaw7:amd64 2:1.0.13-1
2023-05-30 21:58:14 status unpacked libxaw7:amd64 2:1.0.13-1
2023-05-30 21:58:14 install libxcb-randr0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-randr0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-randr0:amd64 1.14-2
2023-05-30 21:58:14 install libxcb-shape0:amd64 <none> 1.14-2
2023-05-30 21:58:14 status half-installed libxcb-shape0:amd64 1.14-2
2023-05-30 21:58:14 status unpacked libxcb-shape0:amd64 1.14-2
2023-05-30 21:58:14 install libxcomposite1:amd64 <none> 1:0.4.5-1
2023-05-30 21:58:14 status half-installed libxcomposite1:amd64 1:0.4.5-1
2023-05-30 21:58:14 status unpacked libxcomposite1:amd64 1:0.4.5-1
2023-05-30 21:58:14 install libxrender1:amd64 <none> 1:0.9.10-1
2023-05-30 21:58:14 status half-installed libxrender1:amd64 1:0.9.10-1
2023-05-30 21:58:14 status unpacked libxrender1:amd64 1:0.9.10-1
2023-05-30 21:58:14 install libxft2:amd64 <none> 2.3.3-0ubuntu1
2023-05-30 21:58:14 status half-installed libxft2:amd64 2.3.3-0ubuntu1
2023-05-30 21:58:14 status unpacked libxft2:amd64 2.3.3-0ubuntu1
2023-05-30 21:58:14 install libxi6:amd64 <none> 2:1.7.10-0ubuntu1
2023-05-30 21:58:14 status half-installed libxi6:amd64 2:1.7.10-0ubuntu1
2023-05-30 21:58:14 status unpacked libxi6:amd64 2:1.7.10-0ubuntu1
2023-05-30 21:58:14 install libxinerama1:amd64 <none> 2:1.1.4-2
2023-05-30 21:58:14 status half-installed libxinerama1:amd64 2:1.1.4-2
2023-05-30 21:58:14 status unpacked libxinerama1:amd64 2:1.1.4-2
2023-05-30 21:58:14 install libxkbfile1:amd64 <none> 1:1.1.0-1
2023-05-30 21:58:14 status half-installed libxkbfile1:amd64 1:1.1.0-1
2023-05-30 21:58:14 status unpacked libxkbfile1:amd64 1:1.1.0-1
2023-05-30 21:58:14 install libxrandr2:amd64 <none> 2:1.5.2-0ubuntu1
2023-05-30 21:58:14 status half-installed libxrandr2:amd64 2:1.5.2-0ubuntu1
2023-05-30 21:58:15 status unpacked libxrandr2:amd64 2:1.5.2-0ubuntu1
